番号,stock_code,stock_name,date
133,6182,株式会社メタリアル,"2020/01/14,2020/05/28,2020/07/14,2020/10/15,2021/01/14,2021/05/10,2021/05/26,2020/07/30"
134,1433,テラ株式会社,"2020/11/13,2020/09/11-2020/09/20,2020/07/05,2020/10/28"
135,7280,株式会社ミツバ,2020/03/23-2020/03/26
136,5541,大平洋金属株式会社,"2019/09/04-2019/09/05,2019/09/06"
137,2752,株式会社フジオフードグループ本社,"2021/11/12,2022/03/30,2022/05/13,2022/08/12"
138,7215,株式会社ファルテック,"2021/07/16-2021/08/20,2021/08/19-2021/09/22"
139,4427,株式会社EduLab,"2018/12/28,2020/08/07,2020/12/23,2018/12/20,2020/10/16"
140,8336,株式会社武蔵野銀行,2023/06/09
141,8331,株式会社千葉銀行,2023/06/09
142,6548,株式会社旅工房,"2021/02/12,2021/06/24,2021/08/13,2021/11/12"
143,7719,株式会社東京衡機,"2020/07/15,2020/10/15,2021/01/14,2021/05/28,2021/07/15,2021/10/15,2022/01/14,2022/05/27"
144,1434,ＪＥＳＣＯホールディングス株式会社,"2021/03/17-2021/03/30,2021/05/06-2021/05/13"
145,2300,株式会社きょくとう,"2021/05/31,2022/01/14,2022/05/31,2023/01/13"
146,1780,株式会社ヤマウラ,"2020/08/07,2021/02/12,2021/06/28,2022/02/14,2022/06/27,2022/08/10,2023/02/14"
147,3823,THE WHY HOW DO COMPANY株式会社,"2019/07/16,2019/11/27,2020/06/15"
148,1844,株式会社大盛工業,2022/04/07-2022/07/07
149,9446,株式会社サカイホールディングス,"2022/03/31,2019/05/15,2022/03/31,2019/08/09,2022/03/31,2019/12/25,2022/03/31,2020/02/14,2022/03/31,2020/05/15,2022/03/31,2020/08/14,2020/12/28,2021/02/15,2021/05/17,2021/08/12,2021/12/24"
150,3807,株式会社フィスコ,"2022/08/12,2022/11/14,2023/03/30,2024/03/28,2024/05/15"
151,2345,株式会社クシム,"2022/09/14,2024/01/26,2024/03/14"
152,2938,株式会社オカムラ食品工業,2025/10/17
153,8070,東京産業株式会社,"2022/11/14,2023/02/14,2023/06/28,2024/01/15,2024/02/14,2023/09/22"
154,7814,株式会社日本創発グループ,2022/01/04-2022/09/13
155,2338,クオンタムソリューションズ株式会社,"2022/10/11,2023/01/13"
156,1301,株式会社Ｇ＆Ｄアドヴァイザーズ,"2022/03/01-2024/02/29,2021/12/01-2024/02/29,2021/09/01-2024/02/29"
157,6173,株式会社アクアライン,"2022/05/31,2022/07/15,2022/10/14,2023/01/16,2023/05/31,2023/07/18,2023/10/16,2024/01/15,2024/05/31,2023/02/28,2023/11/09"
158,2437,Shinwa Wise Holdings株式会社,"2020/08/31,2021/01/14,2021/08/27,2021/10/14,2022/10/17,2024/01/12"
159,2743,ピクセルカンパニーズ株式会社,"2020/03/27,2021/03/31,2022/03/31,2023/03/31,2024/03/29,2020/08/19,2021/08/06,2023/02/27,2024/05/13"
160,4777,株式会社ガーラ,"2020/06/29,2020/06/10"
